ID,Title,Url,Source,Description,Date,Article,Sentiment
21,Thuraya Partners With Airtel Africa to Bring Mobile Satellite Connectivity to 17 Countries Across Africa,http://www.ad-hoc-news.de/thuraya-partners-with-airtel-africa-to-bring-mobile--/de/News/36181827,AD HOC News,"Thuraya Telecommunications Company, a leading Mobile Satellite Services operator and Bharti Airtel International BV today announced an agreement to provide Airtel Africa customers with mobile satellite products and services across 17 countries in Africa.",2014-03-31T06:25:24Z,"Thuraya Partners With Airtel Africa to Bring Mobile Satellite Connectivity to 17 Countries Across Africa. Thuraya Telecommunications Company, a leading Mobile Satellite Services operator and Bharti Airtel International BV today announced an agreement to provide Airtel Africa customers with mobile satellite products and services across 17 countries in Africa.",Positive
22,DoT wing clears Qualcomm-Airtel deal,http://post.jagran.com/dot-wing-clears-qualcommairtel-deal-1396068635,Post,"Bharti Airtel had acquired 49 percent stake in WBSPL in 2012 and bought additional 2 percent equity in July 2013, taking the total to 51 percent. In October last year, it acquired 100 per cent stake in the company. Airtel also won BWA spectrum in four ...",2014-03-29T03:07:20Z,"The deal in which Airtel acquired 49 percent and subsequently fully 100 percent stake in the Qualcomm's Indian venture that won 4G spectrum in four circles, had come under the DoT scanner due to change in equity structure of the licence holder -- Wireless Business Services (WBSPL). As per the notice inviting application (NIA) issued for the auction, a new applicant must retain at least 26 percent stake but it was not specified till what time it must be retained. The DoT had sought clarifications from the wing whether a successful bidder can reduce its equity below 26 percent in the new entrant nominee ISP company. The US firm Qualcomm's Indian 4G venture, Wireless Business Services (WBSPL) had won BWA spectrum in 2010 in four circles of Delhi, Mumbai, Haryana and Kerala.Bharti Airtel had acquired 49 percent stake in WBSPL in 2012 and bought additional 2 percent equity in July 2013, taking the total to 51 percent. In October last year, it acquired 100 per cent stake in the company. Airtel also won BWA spectrum in four service areas of Maharashtra, Karnataka, Kolkata and Punjab. According to sources, the legal devision of DoT has opined that NIA does not impose any lock-in condition on the successful bidder in case of prospective new entrant company also. ""The restriction of successful bidder holding 26 percent shareholding in licence company is applicable till the time of full payment of spectrum fee and allotment of spectrum,"" the source added. The Department has allotted the spectrum and the company has also paid the bid amount of Rs 4,912.54 crore.",Positive
23,"Airtel best placed to ride data boom, says CLSA",http://www.thehindubusinessline.com/features/smartbuy/airtel-best-placed-to-ride-data-boom-says-clsa/article5863755.ece,The Hindu Business Line,"Bharti Airtel is best placed to ride the data boom in India, which will contribute 50 per cent of its incremental mobile revenue over FY14-17. According to a report by brokerage firm CLSA, there is regulatory clarity after the recent spectrum auction wins ...",2014-04-02T16:24:19Z,"Bharti Airtel is best placed to ride the data boom in India, which will contribute 50 per cent of its incremental mobile revenue over FY14-17. According to a report by brokerage firm CLSA, there is regulatory clarity after the recent spectrum auction wins, and despite higher payments and capex, its hefty cashflow should enable balance sheet improvements. India’s broadband penetration is only 2 per cent, while mobile is a vast 72 per cent (893 million subscribers) and rising. Bharti, the nation’s top mobile operator, is taking the lead in data ramp up and, with the largest network and highest spectrum, the agency said. “…we expect its mobile-data subscribers to jump 2.4 times to 129 million by FY17. Mobile data ramp up along with an upturn in voice revenue per minute should drive a 5 per cent annual improvement in average revenue per user (ARPU),” it added. According to CLSA, Bharti Airtel is the “best play” on this theme as it has the broadest data spectrum footprint, the widest network infrastructure and a strong incumbency advantage. Data will contribute 50 per cent of incremental mobile revenue over FY14-17 (cumulative), boosting EBITDA to a 12 per cent per annum, it said, adding the company’s balance sheet is improving and sector consolidation will be an added opportunity. Just as the absence of last mile connectivity led to India skipping the fixed-line phase and moving to 893 million mobiles phones over the past decade, the market is now set to leapfrog from PC-based fixed-line Internet access and adopt mobile data. Bharti Airtel shares rallied more than 3 per cent on Wednesday. It ended up 2.92 per cent at ?324.75 on a strong BSE. ",Positive
24,Telcos might not report growth in realisation during Q4,http://www.afaqs.com/news/story/40440_Telcos-might-not-report-growth-in-realisation-during-Q4,AFAQS,"Bharti Airtel and Idea Cellular are likely to post less than a 1% increase in RPM due to slowing growth and increased competition from smaller operators. Telecom companies are expected to report flat realisation per minute (RPM), which determines ...",2014-04-01T01:09:15Z,"Bharti Airtel and Idea Cellular are likely to post less than a 1% increase in RPM due to slowing growth and increased competition from smaller operators. Telecom companies are expected to report flat realisation per minute (RPM), which determines profitability of a cellular operator, during January-March 2014. Two of the country's top three cellular operators, Bharti Airtel and Idea Cellular, which reported steady growth in RPM during the previous three to four quarters, may post less than a one per cent increase in RPM due to slowing economic growth and increased competition from smaller operators, equity analysts point out. But the total minutes of usage (MoU) on their networks are expected to increase in the range of 2.5-5.3 per cent, as rates remained unchanged during the quarter. In a note on listed telecom companies, Goldman Sachs analyst Sachin Salgaokar says Bharti Airtel's revenue was expected to increase by 4.3 per cent, while the company might report a marginal (around one per cent) decline of revenue from its Africa business. Idea Cellular, the country's third-largest mobile operator by subscriber base, is likely to report a 5.3 per cent increase (quarter on quarter) in revenue, notes Salgaokar. ""We expect a marginal increase of up to 0.5 per cent in RPM, while MoU will rise three-five per cent on a sequential basis. The revenue increase will remain in the low single digits. However, Bharti may have some impact in Africa revenues because of rupee appreciation,"" says Ankita Somani, telecom analyst with Angel Broking. Goldman Sachs, in its note, has said both Bharti Airtel and Idea Cellular will have a debt impact for the money they had to shell out for acquisition of fresh spectrum at the February auction. ""We expect Bharti to post a forex gain of Rs 90.6 crore in the fourth quarter,"" says Salgaokar. Analysts estimate Bharti Airtel will report an increase in Ebitda (earnings before interest, taxes, depreciation, and amortisation), while Idea Cellular may have flat Ebitda during the January-March quarter. ""We estimate Bharti's Ebitda margin to rise 17 basis points quarter on quarter,"" Salgaokar says, adding that Idea Cellular's Ebitda margin will remain flat quarter on quarter at 31 per cent due to higher network expenditure and other expenses. Reliance Communications is also expected to have a flat quarter while there could be smarginal change in MoU, says Somani. ",Negative
25,Sensex ends 150 pts lower as profit-booking emerges,http://www.dayandnightnews.com/2014/04/sensex-ends-150-pts-lower-as-profit-booking-emerges/,Day & Night News,"State-run power producer NTPC also lost 1.95 per cent.Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each. Among BSE sectoral ...",2014-04-05T05:43:41Z,"Saturday April 5,2014, Mumbai: The BSE benchmark Sensex today shed nearly 150 points, the biggest fall in a month, on selling in auto, IT, power and capital goods counters amid Asian cues. Brokers said profit-booking emerged at existing higher levels. Sentiment was dampened by an IMF report that said slowdown in Indian economy is attributable to “internal factors”, they added.The Sensex resumed higher at 22,522.46 but immediately came in the negative terrain. In choppy trade, it touched the day’s low of 22,339.40 in the late afternoon trade. Finally, it settled the day at 22,359.50, a loss of 149.57 points of 0.66 per cent from its previous close. This is the second straight day the Sensex is registering losses. Snapping the six-day rally, the barometer had slipped 42 points yesterday.The NSE 50-share Nifty also declined by 41.75 points or 0.62 per cent to finish at 6,694.35. “Markets ended the week flat after rising for the past few weeks. Profit-booking set in after the sharp rise seen in recent past,” said Dipen Shah, Head of Private Client Group Research, Kotak Securities.Only realty counter escaped profit-booking. Among 30 Sensex scrips, 25 shares ended lower while the remaining five finished higher. Public sector BHEL at 1.95 per cent was the biggest Sensex loser for the second day today. Brokers said capital goods and engineering companies may be carrying orders that may not take off and would have to be eventually struck down and this led selling pressure on those counters. State-run power producer NTPC also lost 1.95 per cent.Telecom major Bharti Airtel suffered a hit of 1.74 per cent, while Tata Motors closed 1.50 per cent lower. Gail India, Wipro, TCS, Sun Pharma and Tata Power lost over 1 per cen each.",Negative
26,Bharti Telecom buys Airtel's shares for Rs172 cr,http://www.dailypioneer.com/business/bharti-telecom-buys-airtels-shares-for-rs172-cr.html,The Pioneer,"Bharti Telecom, promoter of Bharti Airtel on Thursday marginally hiked its stake in the leading operator. Bharti Telecom bought 57.14 lakh shares of Airtel with a total investment of Rs171.92 crore , Airtel informed as in its filing to the stock exchanges.",2014-03-28T18:03:19Z," Bharti Telecom, promoter of Bharti Airtel on Thursday marginally hiked its stake in the leading operator. Bharti Telecom bought 57.14 lakh shares of Airtel with a total investment of Rs171.92 crore , Airtel informed as in its filing to the stock exchanges. Post the announcement, stock prices of Bharti Airtel rose by 2.19 per cent on Bombay Stock Exchange (BSE). Bharti Telecom earlier held 43.57 per cent stake in Airtel which now has been raised marginally to 43.72 per cent, the company said in its statement. The stake purchase took place in three phases. Bharti Telecom had earlier on Tuesday bought 13.04 lakh shares for Rs 38.18 crore at National Stock Exchange (NSE) and 54,000 shares for Rs1.58 crore at BSE. Post this transaction, Bharti Telecom's stake in the company rose to 43.61 per cent, the filing added. Then in the second phase, Bharti Telecom purchased 22.71 lakh shares for Rs 67.53 crore at NSE and 1.34 lakh shares for Rs3.99 crore at BSE on Wednesday, which led its stake to increase to 43.67 per cent. Finally in the third phase, Bharti Telecom purchased 17.50 lakh scrips for Rs 54.41 crore at NSE and 2 lakh shares for Rs 6.2 crore at BSE on Thursday, further raising the stake to 43.72 per cent, it added.",Positive
27,Bharti Telecom ups stake in Airtel,http://www.thehindu.com/todays-paper/tp-business/bharti-telecom-ups-stake-in-airtel/article5846652.ece,The Hindu,Bharti Airtel on Friday said one of its promoter group entities Bharti Telecom has bought 57.14 lakh shares of the company for Rs.171.92 crore through various market transactions. Bharti Telecom stake in the company has now been raised to 43.72 per cent ...,2014-03-29T00:29:51Z,"Bharti Airtel on Friday said one of its promoter group entities Bharti Telecom has bought 57.14 lakh shares of the company for Rs.171.92 crore through various market transactions. Bharti Telecom stake in the company has now been raised to 43.72 per cent, the company said in a BSE filing. Shares of Bharti Airtel on Friday closed at Rs.316.55 apiece, up 1.88 per cent on the BSE.",Positive
28,Markets: 10 hits in a row; Sensex up over 100 points,http://www.rediff.com/business/slide-show/slide-show-1-how-the-markets-fared-on-apr-2/20140402.htm,Rediff India Abroad,"Heavyweights such as Reliance Industries, Tata Motors, ICICI Bank, Larsen & Toubro and Bharti Airtel collectively lifted the benchmark Sensex 109 points higher while losses in ITC and HDFC Bank capped the gains. Meanwhile, foreigners' betting on ...",2014-04-02T03:59:52Z,"Benchmark indices regained lost ground in closing deals after trimming initial gains during the day. Both Sensex and Nifty touched record intra-day highs levels on back of potential foreign fund inflows. It was the tenth session of consecutive gains as investors lapped up heavyweight oil & gas and auto stocks among others. The 30-share BSE Sensex closed 105 points higher at 22,551 levels and the 50-unit Nifty was up 32 points at 6,752. Heavyweights such as Reliance Industries, Tata Motors, ICICI Bank, Larsen & Toubro and Bharti Airtel collectively lifted the benchmark Sensex 109 points higher while losses in ITC and HDFC Bank capped the gains. Telecom carrier Bharti Airtel, which surged over 3% to Rs 326.10, emerged the top gainer followed by Tata Motors which added 2.6% to close at Rs 413.55.",Positive
29,Sensex extends record run after EC nod for bank licences,http://in.reuters.com/article/2014/04/02/sensex-nifty-bank-licence-shares-idINDEEA3102P20140402,Reuters Group PLC,"Bharti Airtel Ltd (BRTI.NS) gained 3.3 percent after CLSA said the wireless services provider ""is best placed to ride the data boom in India."" CLSA cited Bharti's 72 percent mobile market share would allow it to benefit most from a jump in ...",2014-04-02T04:28:30Z,"The BSE Sensex touched a new high for the eighth straight session on Wednesday and non-bank financial companies such as IDFC Ltd (IDFC.NS) surged after the election commission allowed the Reserve Bank of India (RBI) to announce new bank licences. Heavy foreign buying continued to underpin the recent rally with overseas investors buying Indian shares worth 3.85 billion rupees on Tuesday after a totalling $3.3 billion in March. Blue chips also tracked higher global shares on Wednesday as investors focused on the good news in a mixed bag of international economic data. U.S. jobs data due on Friday and India's general elections, beginning this month, are widely expected to drive shares in the near term. Investors see India's main opposition Bharatiya Janata Party, perceived more business-friendly, holding higher chances of coming to power. ""Practically positions can be kept but strategically they should be shifted or pared after such a strong rally,"" Aneesh Srivastava, chief investment officer at IDBI Federal Life Insurance, said. The Sensex rose as much as 0.65 percent to an all-time high of 22,592.10, while Nifty gained 0.63 percent to a record high of 6,763.50. The Sensex and the Nifty ended up 0.47 percent each. Potential bank licence candidates led the gainers: IDFC Ltd surged 3.8 percent and LIC Housing Finance (LICH.NS) rose 4.7 percent. India's election commission on Tuesday allowed the Reserve Bank of India to announce new bank licences even ahead of general elections. The central bank had sought the commission's approval to ensure the process would not clash with the code of conduct, which prevents decisions that may be deemed as political from being taken by government officials or regulators. Among blue chip stocks, Reliance Industries Ltd (RELI.NS) and Larsen & Toubro Ltd (LART.NS) rose 1.7 percent each after earlier marking their 52-week high at 962 rupees and 1,310 rupees respectively. Bharti Airtel Ltd (BRTI.NS) gained 3.3 percent after CLSA said the wireless services provider ""is best placed to ride the data boom in India."" CLSA cited Bharti's 72 percent mobile market share would allow it to benefit most from a jump in mobile data subscribers.",Positive
30,"Sensex loses 150 points, Nifty ends below 6700; Cipla, SBI up",http://ibnlive.in.com/news/sensex-loses-150-points-nifty-ends-below-6700-cipla-sbi-up/462501-7.html,IBN Live,"BHEL, NTPC and Bharti Airtel lost 2 per cent while Tata Motors and GAIL were down over 1 per cent. About 1640 shares advanced, 1119 shares declined, and 143 shares were unchanged. Cipla was up 2 per cent, followed by Tata Steel, SBI, Hindalo and Coal India.",2014-04-04T10:59:50Z,"Investors booked profit ahead of the weekend, which dragged the market on Friday. The Sensex closed down 149.57 points at 22359.50, and the Nifty ended at 6694.35, down 41.75 points. About 1640 shares advanced, 1119 shares declined, and 143 shares were unchanged. BHEL, NTPC and Bharti Airtel lost 2 per cent while Tata Motors and GAIL were down over 1 per cent. ",Negative
31,"Sensex down more than 150 pts, set to end on weak note",http://www.sify.com/finance/sensex-down-more-than-150-pts-set-to-end-on-weak-note-news-sensex-oeepnWabeag.html,Sify,"Metal and consumer durables stocks are mixed, while realty stocks are in demand. NTPC, BHEL, Bharti Airtel, GAIL India, Tata Motors, Tata Consultancy Services, Larsen & Toubro, Sun Pharmaceutical Industries and Mahindra & Mahindra are down 1% ...",2014-04-04T07:53:43Z,"With profit taking dragging down quite a few front line stocks, the market looks headed for a weak close today, extending previous session's losses. The mood is quite cautious ahead of beginning of Lok Sabha Elections. Also, with most of the markets in Asia and Europe turning in a somewhat lackluster performance today ahead of the crucial U.S. jobs report, investors are quite reluctant to indulge in any big buying. The Sensex is down 156.71 points or 0.7% at 22,352.36. The Nifty is down 40.10 points or 0.6% at 6696. Capital goods, power, automobile and information technology stocks are among the notable losers. Oil and FMCG stocks are also trading weak. Pharmaceutical and bank stocks have come off their highs due to stiff resistance. Metal and consumer durables stocks are mixed, while realty stocks are in demand. NTPC, BHEL, Bharti Airtel, GAIL India, Tata Motors, Tata Consultancy Services, Larsen & Toubro, Sun Pharmaceutical Industries and Mahindra & Mahindra are down 1% - 2.2%. ",Negative
32,"Sensex slips 150 points; auto, capital goods lose",http://www.indileak.com/sensex-slips-150-points-auto-capital-goods-lose/,indileak.com,"The main losers were: BHEL, down 1.95 percent at Rs 183.95; NTPC, down 1.95 percent at Rs 120.55; Bharti Airtel, down 1.74 points at Rs 316.25; Tata Motors, down 1.50 points at Rs 405.10; and Gail India, down 1.48 percent at Rs 362.60. Among the Asian ...",2014-04-04T11:57:06Z,"A benchmark index of Indian equities markets closed in the negative territory for the second consecutive session on Friday as automobile, capital goods and information technology (IT) stocks declined. It touched a high of 22,525.21 points and a low of 22,339.40 intra-day. It touched a high of 22,525.21 points and a low of 22,339.40 intra-day. Markets were cautious ahead of the five-week general election polling exercise due to begin April 7, while profit booking in blue chip stocks pulled the market down from its several sessions of record highs touched recently. The 30-scrip S&P Sensex of the Bombay Stock Exchange (BSE), which opened at 22,522.46 points, closed at 22,359.50 points — down 149.57 points or 0.66 percent from its previous day’s close at 22,509.07 points. It touched a high of 22,525.21 points and a low of 22,339.40 intra-day. The wider 50-scrip Nifty of the National Stock Exchange (NSE) too closed in negative territory. It closed at 6,694.35 points — down 41.75 points or 0.62 percent. In Friday’s trade, stocks like automobile, capital goods, IT, oil and gas technology, entertainment and media (TECk) and fast moving consumer goods (FMCG) came under sustained selling pressure. However, metal and consumer durables stocks rose. The S&P BSE automobile index lost 134.54 points, capital goods index was down 89.27 points, IT index was lower by 85.52 points, followed by oil and gas index which edged lower by 48.09 points, TECk index fell 45.95 points and FMCG index declined by 39.41 points. However, the metal index rose by 25.29 points, followed by consumer durables index — up 14.03 points. The major Sensex gainers were: Cipla, up 1.98 percent at Rs 404.10; Tata Steel, up 0.84 percent at Rs 401.90; State Bank of India (SBI), up 0.47 percent at Rs 1,904.25; Hindalco Inds, up 0.44 percent at Rs 137.65; and Coal India, up 0.41 percent at Rs 282. The main losers were: BHEL, down 1.95 percent at Rs 183.95; NTPC, down 1.95 percent at Rs 120.55; Bharti Airtel, down 1.74 points at Rs 316.25; Tata Motors, down 1.50 points at Rs 405.10; and Gail India, down 1.48 percent at Rs 362.60.",Negative
33,Sensex ends six-day rally on profit booking; closes down 42 points,http://post.jagran.com/sensex-ends-sixday-rally-on-profit-booking-closes-down-42-points-1396526115,Post,"In 30-BSE index components, 17 stocks declined led by Reliance Industries, ICICI Bank, Axis Bank, State Bank of India, HDFC Bank, Bajaj Auto, Bharti Airtel and BHEL. Market supporters were Infosys, Cipla, Dr Reddy's Lab., Hindustan Unilever, Maruti Suzuki ...",2014-04-03T10:25:13Z,"In morning trade the 30-share index touched new all-time high of 22,620.65 points, for the ninth day in a row. However, the index could not sustain the momentum and succumbed to profit booking later. The barometer closed down by 42.42 points, or 0.19 percent, to 22,509.07 points. It touched a low of 22,369.28 during the day. The broad-based Nifty of the National Stock Exchange eased by 16.45 points, or 0.24 percent, to 6,736.10, after climbing to record high of 6,776.75. It touched a low of 6,696.90 in the day. Brokers said the market was in over bought position following recent record setting spree and fell on profit selling in banking stocks following a slide in bonds. They said the falling trend was partially checked as healthcare, FMCG and metal stocks gained on selective buying at the fag-end by retail investors. In 30-BSE index components, 17 stocks declined led by Reliance Industries, ICICI Bank, Axis Bank, State Bank of India, HDFC Bank, Bajaj Auto, Bharti Airtel and BHEL.",Negative
34,"Voda, Airtel apply for Unified Licence",http://freepressjournal.in/voda-airtel-apply-for-unified-licence/,freepressjournal.in,"Bharti Airtel has also applied for new licences in Delhi and Kolkata circles, sources said. The new telecom permit will lead to Vodafone selling its 4.4 per cent indirect stake in Bharti Airtel. Based on todayâ€™s closing price of Rs 324.75 per share on ...",2014-04-03T05:31:44Z,"Telecom major Vodafone and Airtel have applied for new telecom permits – Unified Licence – to continue their businesses in some service areas, including Delhi and Mumbai. “As required under the conditions of auction, laid down in the Notice Inviting Application, Vodafone has applied for Unified Licence in Delhi, Mumbai & Kolkata service areas on 19 February 2014,” Vodafone said in a statement. Bharti Airtel has also applied for new licences in Delhi and Kolkata circles, sources said. The new telecom permit will lead to Vodafone selling its 4.4 per cent indirect stake in Bharti Airtel. Based on today’s closing price of Rs 324.75 per share on BSE, the market valuation of Airtel was about Rs 1,30,355 crore. At this level, 4.4 per cent stake would be worth over Rs 5,700 crore. The Unified Licences norms bar a telecom operator from holding any kind of stake in competitor. The two companies did not comment on the matter of stake sale. Vodafone and Airtel bought spectrum afresh for continuing their services in respective circles as their 20-year licence period will expire in November. In a letter to the telecom ministry in July 2013, Vodafone had said that it holds 4.4 per cent stake indirectly in Bharti Airtel.",Average
35,Indiaâ€™s Sensex Climbs to Record Ahead of Rate Decision Tomorrow,http://www.bloomberg.com/news/2014-03-31/india-nifty-futures-rise-as-equity-gauges-head-for-monthly-gain.html,Bloomberg,"State Bank of India rose to its highest level since July, pacing a rally among lenders. Bharti Airtel Ltd. (BHARTI), the nationâ€™s largest mobile-phone operator, gained for a seventh day, its longest winning run streak in more than four years.",2014-03-31T02:29:11Z,"Indian stock advanced for a fourth day, with the benchmark index headed for a record ahead of the central bank’s monetary policy tomorrow. State Bank of India rose to its highest level since July, pacing a rally among lenders. Bharti Airtel Ltd. (BHARTI), the nation’s largest mobile-phone operator, gained for a seventh day, its longest winning run streak in more than four years. NTPC Ltd., India’s biggest power producer, climbed the most in six weeks. The S&P BSE Sensex (SENSEX) added 0.5 percent to 22,445.09 at 9:56 a.m. in Mumbai. The gauge is on course for the sharpest monthly increase in five months after foreign investors extended Asia’s largest equity-market inflows and the rupee strengthened to an eight-month high. Banks from Morgan Stanley to HSBC Holdings Plc expect the Reserve Bank of India to halt raising interest rates as inflation slows. “Inflation has softened and in view of the improving economic scenario we believe the RBI has reasons to put rates on hold,” Hemant Kanawala, head of equities at Kotak Mahindra Old Mutual Life Insurance Ltd., which has $2 billion in assets, said in an interview to Bloomberg TV India today. RBI Governor Raghuram Rajan, who increased the repurchase rate thrice since he took office in September, will maintain the benchmark at 8 percent, according to 34 of 36 economists surveyed by Bloomberg. Two see an increase to 8.25 percent. Consumer-price (INFUTOTY) gains cooled to 8.1 percent in February from 11.2 percent in November, the highest in at least two years, government data show. The Sensex has risen 6 percent this quarter, beating stock indexes in Brazil, Russia and China, as improving government finances, cooling inflation and forecasts for a change in government after elections starting next month attract inflows. Foreign funds have plowed $9.3 billion into local shares and bonds this year, the most among eight Asian markets tracked by Bloomberg. The rupee has rebounded 15 percent from a record low in August as global investors pour money into Indian assets. They bought a net $375.4 million of shares on March 27, a 12th day of inflows, data compiled by Bloomberg show. The Sensex trades at 14.1 times projected 12-month earnings, compared with the average multiple of 14.5 over the past five years. The MSCI Emerging Markets Index is valued at 9.9 times. ",Positive
36,"Bharti Telecom buys Airtelâ€™s shares for Rs 172 cr, hikes stake",http://freepressjournal.in/bharti-telecom-buys-airtels-shares-for-rs-172-cr-hikes-stake/,freepressjournal.in,New Delhi: Countryâ€™s largest telecom operator Bharti Airtel today said one of its promoter group entity Bharti Telecom has bought 57.14 lakh shares of the company for Rs 171.92 crore through various market transactions. Bharti Telecom stake in the ...,2014-03-28T11:15:17Z,"Country’s largest telecom operator Bharti Airtel today said one of its promoter group entity Bharti Telecom has bought 57.14 lakh shares of the company for Rs 171.92 crore through various market transactions. Bharti Telecom stake in the company has been now been raised to 43.72 per cent, the company said in a BSE filing. Bharti Telecom bought 13.04 lakh shares for Rs 38.18 crore at NSE and 54,000 shares for Rs 1.58 crore at BSE on March 25, thus raising the stake marginally from 43.57 per cent to 43.61 per cent, the filing said. Additionally Bharti Telecom purchased 22.71 lakh shares for Rs 67.53 crore at NSE and 1.34 lakh shares for Rs 3.99 crore at BSE on March 26, which led its stake to increase to 43.67 per cent. Besides on March 27, the promoter group entity bought 17.50 lakh scrips for Rs 54.41 crore at NSE and 2 lakh shares for Rs 6.2 crore at BSE, further raising the stake to 43.72 per cent, it added. As on quarter ended December 2013, Bharti Telecom held 43.57 per cent stake in the company. The promoter group had 65.23 per cent in the company at the same period. Shares of Bharti Airtel today closed at Rs 316.55 apiece, up 1.88 per cent in the afternoon trade on the BSE.",Average
37,"Sensex, Nifty Rise For The Sixth Day As Foreign Funds Pour In",http://www.siliconindia.com/finance/news/Sensex-Nifty-Rise-For-The-Sixth-Day-As-Foreign-Funds-Pour-In-nid-163924.html,Silicon India,"Cipla rose by 2 per cent while Dr Reddyâ€™s was up close to 1 per cent. In 30-BSE index-components, 19 stocks gained. Bharti Airtel rose the most by 3.34 per cent among Sensex scrips after brokerage firm CLSA said that the company with 201 million ...",2014-04-02T11:30:50Z,"Cipla rose by 2 per cent while Dr Reddy’s was up close to 1 per cent. In 30-BSE index-components, 19 stocks gained. Bharti Airtel rose the most by 3.34 per cent among Sensex scrips after brokerage firm CLSA said that the company with 201 million subscribers is best placed to take a lead in the data ramp-up in the country",Positive
38,Qualcomm to Divest Indian Venture,https://sg.finance.yahoo.com/news/qualcomm-divest-indian-venture-162019103.html,Yahoo Singapore Finance,"In 2011, The Economic Times reported that Bharti Airtel may offer around $1.2â€“$1.3 billion to acquire the remaining 74% stake of the venture. In May 2012, Qualcomm sold a 49% stake in the holding company to Bharti Airtel for $165 million.",2014-03-31T16:19:32Z,"Qualcomm Inc. (QCOM) recently received the regulatory approval in India to divest its remaining stake in Broadband Wireless Access (BWA) spectrum to the local operator Bharti Airtel. In 2010, Government of India conducted a spectrum auction for both 3G network and broadband wireless access. Qualcomm paid $1.045 billion to obtain the BWA operating license in four major service areas of New Delhi, Mumbai, Kerala and Haryana. Qualcomm initially planned to divest its full stake after creating a next-generation (4G) LTE (Long-Term Evolution) network to roll out super-fast broadband wireless access services. The fast-growing broadband market is attracting substantial investments for deploying LTE networks in India. In Jul 2010, Qualcomm sold 24% stake of its Indian broadband venture to Indian telecom operators Global Holdings Corp. and Tulip Telecom Ltd. for a consideration of around $58 million. In 2011, The Economic Times reported that Bharti Airtel may offer around $1.2–$1.3 billion to acquire the remaining 74% stake of the venture. In May 2012, Qualcomm sold a 49% stake in the holding company to Bharti Airtel for $165 million. In Oct 2012, Bharti Airtel raised its stake to 93.45% in the holding company. With the permission from the Indian regulator, Department of Telecommunications (DOT.V), Bharti Airtel can now have full ownership of the holding company. In 2012, Qualcomm sold the 700 MHz wireless spectrum of its filed mobile TV venture called “FLO TV”, to AT&T Inc. (T) for $1.925 billion. In 2013, the company sold its subsidiary Omnitracs Inc. to Vista Equity Partners, a U.S.-based private equity firm, for $800 million.",Positive
